year,month,tmean
1953,10,16.5
1953,11,8.444444444
1953,12,4
1954,1,4.944444444
1954,2,9.277777778
1954,3,9.666666667
1954,4,18.38888889
1954,5,17.11111111
1954,6,25.27777778
1954,7,29.11111111
1954,8,28.16666667
1954,9,24.55555556
1954,10,16.61111111
1954,11,8.555555556
1954,12,4.722222222
1955,1,3.833333333
1955,2,5.888888889
1955,3,11.27777778
1955,4,17.61111111
1955,5,21.22222222
1955,6,21.5
1955,7,26.88888889
1955,8,26.33333333
1955,9,23.72222222
1955,10,15.05555556
1955,11,8.555555556
1955,12,4.5
1956,1,2.444444444
1956,2,8.722222222
1956,3,9.833333333
1956,4,14.66666667
1956,5,21.22222222
1956,6,23.88888889
1956,7,26.5
1956,8,26.33333333
1956,9,21.33333333
1956,10,17.11111111
1956,11,8.722222222
1956,12,9.444444444
1957,1,3.444444444
1957,2,9.388888889
1957,3,9.055555556
1957,4,17.27777778
1957,5,20.66666667
1957,6,24.72222222
1957,7,25.55555556
1957,8,24.83333333
1957,9,21.5
1957,10,13.44444444
1957,11,9.5
1957,12,7.444444444
1958,1,1.777777778
1958,2,-0.333333333
1958,3,6.722222222
1958,4,15.05555556
1958,5,19.77777778
1958,6,23.88888889
1958,7,26.22222222
1958,8,25.11111111
1958,9,22.27777778
1958,10,14.94444444
1958,11,10.88888889
1958,12,2.611111111
1959,1,3.166666667
1959,2,6.055555556
1959,3,9.222222222
1959,4,15.38888889
1959,5,21.55555556
1959,6,23.16666667
1959,7,25.38888889
1959,8,26.16666667
1959,9,22.83333333
1959,10,16.83333333
1959,11,7.611111111
1959,12,6.222222222
1960,1,4.444444444
1960,2,3.388888889
1960,3,2.833333333
1960,4,16.72222222
1960,5,17.94444444
1960,6,23.77777778
1960,7,25.72222222
1960,8,26.05555556
1960,9,22.72222222
1960,10,16.27777778
1960,11,8.944444444
1960,12,1.888888889
1961,1,1.555555556
1961,2,8.666666667
1961,3,11.94444444
1961,4,13.27777778
1961,5,18
1961,6,22.27777778
1961,7,24.88888889
1961,8,24.38888889
1961,9,22.44444444
1961,10,15.16666667
1961,11,9.833333333
1961,12,5.277777778
1962,1,2.166666667
1962,2,9.055555556
1962,3,7.5
1962,4,13.44444444
1962,5,23
1962,6,23.66666667
1962,7,25.88888889
